SKU,Description,Active,AssemblyAmount,AssemblyOption,AssemblyTime,BrandID,Category,DeliveryGroup,DiscountEligible,DisplayAvailability,FinancingEligible,FreightGroup,LocalDelivery,Model,MSRP,PowerType,ProductType,PromoName,QtyDanbury,QtyNewMilford,RebateEligible,RebateEndDate,RebateStartDate,RebateToCustomer,SaleEndDate,SalePrice,SaleStartDate,Series,SortOrder,SpecialFinancingEligible,SubCategory,System,Taxable,AllowBackorder,BuyOnlineEligible,MaximumOnLineQty,AvailabilityRequestEligible,ShippingEligible,ShippingRateType,ShipWeight,ShipLength,ShipWidth,ShipHeight,ShippingCarrierRule,ShippingRestriction,ShipsSeparately,WB01 011 3600 US,WB01 011 3605 US,WB02 011 3610 US,WB03 011 3600 US,WB03 011 3610 US,WB03 011 3611 US,WB04 011 3600 US,WB04 011 3607 US,WB04 011 3605 US,WB04 011 3610 US,WB04 011 3615 US,WB05 011 3600 US,WB05 011 3605 US,WB05 011 3610 US,WB05 011 3616 US,WB05 011 3615 US,WA81 011 8400 US,WA81 011 8410 US,WA81 011 8420 US,WA04 011 8600 US,WA04 011 8610 US,WA04 011 8620 US,RequiredModel1,RequiredSKU1,RequiredQty1,RequiredDescription1,RequiredModel2,RequiredSKU2,RequiredQty2,RequiredDescription2
WB00 700 9725,10 Bushel 3-Bag Soft Top M.C.S. w/Blower,T,150,T,1.5,STIHL,Attachments,RIDING,T,T,T,Handheld,F,10 Bushel 3-Bag Soft Top M.C.S. w/Blower,2674.99,,, ,0,0,T,,,,,,,,884,,Attachment,Attachment,T,,F,,,,,,,,,,,, , , , , , , , , ,T,T, , , , , , , , , , , , , , ,, , , ,
WB00 700 9730,10 Bushel 3-Bag Soft Top M.C.S. w/Blower,T,150,T,1.5,STIHL,Attachments,RIDING,T,T,T,Handheld,F,10 Bushel 3-Bag Soft Top M.C.S. w/Blower,2674.99,,, ,0,0,T,,,,,,,,885,,Attachment,Attachment,T,,F,,,,,,,,,,,, , , , , , , , , , , ,T,T, , , , , , , , , , , , ,, , , ,
WB00 710 7600,Mower Boot Kit,T,0,T,0,STIHL,Attachments,RIDING,T,T,T,Handheld,F,Mower Boot Kit,160.99,,, ,0,0,T,,,,,,,,886,,Attachment,Attachment,T,,F,,,,,,,,,,,,T, , , , , , , , , , , , , , , , , , , , , , , , ,, , , ,
WB00 760 0500,Bagging Blower,T,100,T,1,STIHL,Attachments,RIDING,T,T,T,Handheld,F,Bagging Blower,641.99,,, ,0,0,T,,,,,,,,887,,Attachment,Attachment,T,,F,,,,,,,,,,,, ,T, , , , , , , , , , , , , , , , , , , , , , , ,, , , ,
WB00 760 0505,Bagging Blower,T,100,T,1,STIHL,Attachments,RIDING,T,T,T,Handheld,F,Bagging Blower,641.99,,, ,0,0,T,,,,,,,,888,,Attachment,Attachment,T,,F,,,,,,,,,,,, , ,T, , , , , , , , , , , , , , , , , , , , , , ,, , , ,
WB00 780 2700,Armrests,T,50,T,0.5,STIHL,Attachments,,T,T,T,,,Armrests,90.99,,, ,0,0,T,,,,,,,,915,,Attachment,Attachment,T,,F,,,,,,,,,,,,T,T,T, , , , , , , , , , , , , , , , , , , , , , ,, , , ,
WB00 780 6200,Service Jack,T,0,T,0,STIHL,Attachments,,T,T,T,,,Service Jack,74.99,,, ,0,0,T,,,,,,,,916,,Attachment,Attachment,T,,F,,,,,,,,,,,, , , ,T,T,T,T,T,T,T,T,T,T,T,T,T, , , , , , , ,WB00 007 1060,1,Service Jack Mounting Kit, , , ,
4137 740 5009 US,FSB-KM Curved Shaft Trimmer,T,0,T,0,STIHL,Attachments,,T,T,T,,,FSB-KM Curved Shaft Trimmer,79.99,,, ,0,0,T,,,,,,,,920,,Attachment,KombiSystem,T,,T,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4140 710 7143,"HT-KM Steel Shaft Extension (37"")",T,0,T,0,STIHL,Attachments,,T,T,T,,,"HT-KM Steel Shaft Extension (37"")",95.99,,, ,0,1,T,,,,,,,,921,,Attachment,KombiSystem,T,,T,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4601 007 1008,MM56 Wheel Kit,T,0,T,0,STIHL,Attachments,,T,T,T,,,MM56 Wheel Kit,74.99,,, ,0,1,T,,,,,,,,939,,Attachment,Yard Boss,T,,T,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4601 740 4600 US,MM56 Lawn Aerator,T,0,T,0,STIHL,Attachments,,T,T,T,,,MM56 Lawn Aerator,79.99,,, ,0,0,T,,,,,,,,940,,Attachment,Yard Boss,T,,T,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4601 740 4603 US,MM56 Bed Edger,T,0,T,0,STIHL,Attachments,,T,T,T,,,MM56 Bed Edger,59.99,,, ,0,1,T,,,,,,,,941,,Attachment,Yard Boss,T,,T,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4601 740 4604 US,MM56 PowerSweep,T,0,T,0,STIHL,Attachments,,T,T,T,,,MM56 PowerSweep,219.99,,, ,0,0,T,,,,,,,,942,,Attachment,Yard Boss,T,,T,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4601 740 4605 US,MM56 Pick Tines,T,0,T,0,STIHL,Attachments,,T,T,T,,,MM56 Pick Tines,69.99,,, ,0,0,T,,,,,,,,943,,Attachment,Yard Boss,T,,T,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4601 740 4606 US,MM56 Bolo Tines,T,0,T,0,STIHL,Attachments,,T,T,T,,,MM56 Bolo Tines,69.99,,, ,0,0,T,,,,,,,,944,,Attachment,Yard Boss,T,,T,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4601 740 4607 US,MM56 Dethatcher,T,0,T,0,STIHL,Attachments,,T,T,T,,,MM56 Dethatcher,279.99,,, ,0,0,T,,,,,,,,945,,Attachment,Yard Boss,T,,T,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4601 740 4608 US,MM56 Bristle Brush ,T,0,T,0,STIHL,Attachments,,T,T,T,,,MM56 Bristle Brush ,159.99,,, ,0,0,T,,,,,,,,946,,Attachment,Yard Boss,T,,T,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4601 740 4609 US,MM56 Trimmer,T,0,T,0,STIHL,Attachments,,T,T,T,,,MM56 Trimmer,117.99,,, ,0,0,T,,,,,,,,947,,Attachment,Yard Boss,T,,T,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA01 820 5001,GTA26 - 5' Extension,T,0,T,0,STIHL,Attachments,,T,T,T,,,GTA26 - 5' Extension,95.99,,, ,0,1,T,,,,,,,,961,,Accessory,GTA,T,,T,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
